finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
91,56,82,18,33,-4.13,86.63,39.12,-66.12,42.16,18.17,0.68,9.4,0.55,-0.01,-0.07,0.05,9.4,2.79,3.09,-0.09,-0.07,-0.09
91,56,64,18,60,-4.7,85.99,40.34,-66.44,42.48,17.83,0.78,9.43,0.66,0,-0.01,0.04,9.45,2.78,3.04,-0.08,0.01,-0.06
91,56,74,18,45,-4.81,86.05,39.26,-66.39,44.08,17.43,0.8,9.48,0.65,-0.01,0.03,0.01,9.39,2.85,2.95,-0.08,0.07,0
91,56,66,27,60,-5.05,85.28,42.95,-67.02,43.22,17.17,0.83,9.37,0.77,-0.01,0.07,0.01,9.24,2.68,2.86,-0.05,0.06,-0.02
91,56,92,18,54,-3.84,85.09,51.9,-66.32,40.75,18.38,0.63,9.42,0.81,-0.02,0.07,0.05,9.28,2.66,3.08,-0.02,-0.02,-0.03
91,56,64,15,57,-2.32,86.56,56.03,-64.97,38.13,20.17,0.38,9.28,0.56,-0.02,0.07,0.04,9.3,2.68,3.42,-0.02,0.01,-0.03
91,56,60,18,48,-2.04,85.22,66.84,-65.66,37.49,19.74,0.34,9.51,0.79,-0.01,0.06,0.02,9.42,2.59,3.38,-0.05,0.03,-0.03
91,56,62,11,72,-2.51,85.24,62.14,-65.75,37.43,19.69,0.42,9.57,0.8,-0.02,0.05,0.01,9.5,2.6,3.4,-0.06,0.01,-0.02
91,56,60,11,46,-2.06,87.56,49.86,-63.91,38.62,20.93,0.34,9.31,0.4,-0.02,0.06,0.03,9.15,2.8,3.5,-0.05,0.01,-0.02
91,56,46,27,52,-1.35,85.69,72.65,-64.83,36.83,20.61,0.23,9.65,0.73,-0.02,0.05,0.03,9.51,2.68,3.58,-0.08,0.02,-0.03
91,56,30,72,54,-1.77,87.62,53.36,-64.87,38.86,20.07,0.28,9.21,0.38,-0.03,0,0.01,9.21,2.71,3.36,-0.1,0.02,-0.03
91,56,52,63,61,-3.51,85.77,50.25,-66.17,39.55,18.81,0.58,9.41,0.7,0.03,0,0.03,9.36,2.63,3.19,-0.08,0.01,-0.08
91,56,44,58,40,-3.79,84.65,54.62,-66.23,39.28,18.82,0.64,9.62,0.9,-0.01,0.04,0.05,9.53,2.66,3.25,-0.07,-0.02,-0.06
91,56,44,65,39,-2.75,86.89,48.42,-65.14,39.97,19.55,0.45,9.4,0.51,-0.02,0.03,0.06,9.37,2.79,3.33,-0.07,-0.07,-0.08
91,56,58,49,34,-2.49,84.67,64.89,-66.71,38.45,18.63,0.43,9.86,0.92,-0.03,0.02,0.04,9.87,2.64,3.33,-0.07,-0.02,-0.04
